Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Aditya Birla Sun Life,Aditya Birla SL Active Debt Multi-Mgr FoF(G),FOF-DOM,Unrated,9.7,0.62,28-Dec-06,Crisil Composite Bond Fund Index,30.72,30.72,30.04,0.25,1.06,1.56,2.24,3.77,5.54,5.74,7.1,-,-,-,-,-,-,-,-,-,-,-0.43,-0.51,-0.62,0.17,0.99,FoFs : Domestic,-3.72,13.95,0.25% on or before 15D Nil after 15D
Aditya Birla Sun Life,Aditya Birla SL Arbitrage Fund(G),HY-ARB,3,5348.8,1.03,24-Jul-09,Nifty 50 Arbitrage,22.06,22.06,21.26,0.43,1.12,1.9,3.64,3.78,3.94,4.85,6.12,998,131,131930,47.59,12.81,4.25,Financials,0.46,0.43,5.99,0.86,0.98,2.03,-0.01,0.88,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Asset Allocator FoF(G),FOF-DOM,Unrated,142.2,1.6,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,42.99,44.08,40.07,-0.49,3.1,-0.07,-1.97,15.15,13.97,9.15,11.82,-,-,-,-,-,-,-,-,-,-,-4.54,-0.63,-0.98,0.44,7.52,FoFs : Domestic,-3.72,13.95,1% on or before 365D Nil after 365D
Aditya Birla Sun Life,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),HY-SOL,2,614.5,2.48,11-Feb-19,NIFTY 500 - TRI,13.59,14.53,11.76,-1.52,6.51,2.41,-4.97,12.91,9.56,-,-,45,58,99322,57.59,27.38,13.68,Financials,-,-,-,-5.97,-0.39,-0.61,1.03,16.61,Hybrid : Solution Oriented,-1.53,19.02,Nil
Aditya Birla Sun Life,Aditya Birla SL Balanced Advantage Fund(G),HY-DYN,4,6745.2,1.81,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,74.3,75.64,68.36,-0.39,4.65,2.6,-0.56,14.29,11.02,8.05,10.85,308,112,193013,55.35,6.61,3.7,Financials,1.52,1.32,7.34,-2.37,-0.32,-0.5,0.54,8.35,Hybrid : Dynamic Asset Allocation,1.18,10.47,0.25% on or before 7D Nil after 7D
Aditya Birla Sun Life,Aditya Birla SL Banking & Financial Services Fund-Reg(G),EQ-FIN,4,2371.1,2.15,14-Dec-13,Nifty Financial Services - TRI,39.61,41.77,32.27,-1.62,12.45,5.41,-3.63,28.68,11.16,7.27,-,30,32,162461,74.95,10.17,10.21,Financials,-,-,-,2.29,-0.17,-0.27,1.08,21.3,Equity : Sectoral - Financial Services,-1.79,11.01,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Banking & PSU Debt(G),DT-B&PSU,4,8506.4,0.7,5-May-08,NIFTY Banking and PSU Debt Index,300.3,300.4,291.91,0.08,1.03,1.47,2.83,3.65,6.02,6.65,8.31,0,-,-,-,-,-,-,2.86,1.98,7.23,0.23,0.13,0.17,0.19,1.01,Debt : Banking & PSU,2.42,5.6,Nil
Aditya Birla Sun Life,Aditya Birla SL Business Cycle Fund-Reg(G),EQ-THEM,Unrated,2306.7,1.98,3-Dec-21,S&P BSE 500 - TRI,10.24,10.55,8.76,-0.39,8.02,3.23,-,-,-,-,-,-,46,202940,82.05,12.3,2.55,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,7.27,15.07,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CEF-Global Agri-Reg(G),EQ-INTL,Unrated,15.7,1.74,7-Nov-08,S&P Global Agribusiness Index,36.82,42.75,31.7,-2.25,4.4,-15.13,8.07,28.38,15.78,9.35,7.72,9,20,31339,2.73,-,1.52,Chemicals,-,-,-,9.27,0.38,0.59,0.1,23.21,Equity : International,-18.69,6,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Corp Bond Fund(G),DT-CORP,5,13504.1,0.46,3-Mar-97,NIFTY Corporate Bond Index,91.42,91.42,88.61,0.18,1.32,1.74,3.13,4.08,6.56,7.05,8.12,0,-,-,-,-,-,-,2.57,1.6,7.5,0.55,0.34,0.45,0.28,1.25,Debt : Corporate Bond,2.2,5.79,Nil
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Reg(G),DT-CR,3,1204.7,1.55,22-Apr-15,NIFTY Credit Risk Bond Index,16.91,16.91,15.89,0.16,1.33,4.44,6.31,6.91,6.27,6.04,-,0,1,-,-,-,-,-,2.37,1.58,8.1,3.73,1.36,4.5,0.19,2.67,Debt : Credit Risk,3.6,5.53,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Segregated Portfolio 1-Reg(G),DT-CR,Unrated,66.4,-,25-Nov-19,NIFTY Credit Risk Bond Index,0.16,0.4,0.16,0.06,0.18,-59.02,-59.02,-35.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.4,-1.08,-1.08,0.07,61.49,Debt : Credit Risk,3.6,5.53,null
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),DT-M&LD,Unrated,-,-,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,10.02,10.03,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Medium to Long Duration,1.11,4.88,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),DT-MD,Unrated,134.3,0.3,30-Mar-22,CRISIL IBX 60:40 PSU + AAA PSU Index - April 2025,9.97,10.01,9.77,0.09,0.89,0.54,-,-,-,-,-,0,-,-,-,-,-,-,2.33,2.04,7.44,-,-,-,-,-,Debt : Medium Duration,1.38,5.02,0.50% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),DT-M&LD,Unrated,910.9,0.35,29-Mar-22,CRISIL IBX 60:40 PSU + AAA PSU Index - April 2027,9.96,10.02,9.67,-0.05,1,1.03,-,-,-,-,-,0,-,-,-,-,-,-,4.06,3.38,7.53,-,-,-,-,-,Debt : Medium to Long Duration,1.11,4.88,0.50% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX AAA - Jun 2023 Index Fund-Reg(G),DT-SD,Unrated,1381.3,0.3,22-Feb-22,CRISIL IBX AAA Index - June 2023,10.18,10.18,9.98,0.21,1.04,1.48,-,-,-,-,-,0,-,-,-,-,-,-,0.62,0.59,7.08,-,-,-,-,-,Debt : Short Duration,2.89,5.39,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),DT-MD,Unrated,-,-,7-Oct-22,CRISIL IBX Gilt Index - April 2026,10.04,10.04,9.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Medium Duration,1.38,5.02,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),DT-GILT,Unrated,-,-,-,CRISIL IBX Gilt Index - April 2029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Gilt,1.22,5.04,Nil
