fund_name,scheme_name,category,rating,aum,expense_ratio,inception_date,Benchmark Index,nav,high_52_week,low_52_week,return_1_month,Return (%)3 mo,Return (%)6 mo,return_1_year,Return (%)2 yrs,return_3_year,return_5_year,Return (%)10 yrs,Turnover Ratio (%),number_of_stocks,average_market_cap,large_cap,mid_cap,small_cap,Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,standard_deviation,classification,category_average_return,category_average_return_3years,exit_load_remarks
Aditya Birla Sun Life,Aditya Birla SL Arbitrage Fund(G),HY-ARB,3.0,5348.8,1.03,24-Jul-09,Nifty 50 Arbitrage,22.06,22.06,21.26,0.43,1.12,1.9,3.64,3.78,3.94,4.85,6.12,998,131.0,131930.0,47.59,12.81,4.25,Financials,0.46,0.43,5.99,0.86,0.98,2.03,-0.01,0.88,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Balanced Advantage Fund(G),HY-DYN,4.0,6745.2,1.81,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,74.3,75.64,68.36,-0.39,4.65,2.6,-0.56,14.29,11.02,8.05,10.85,308,112.0,193013.0,55.35,6.61,3.7,Financials,1.52,1.32,7.34,-2.37,-0.32,-0.5,0.54,8.35,Hybrid : Dynamic Asset Allocation,1.18,10.47,0.25% on or before 7D Nil after 7D
Aditya Birla Sun Life,Aditya Birla SL Banking & Financial Services Fund-Reg(G),EQ-FIN,4.0,2371.1,2.15,14-Dec-13,Nifty Financial Services - TRI,39.61,41.77,32.27,-1.62,12.45,5.41,-3.63,28.68,11.16,7.27,-,30,32.0,162461.0,74.95,10.17,10.21,Financials,-,-,-,2.29,-0.17,-0.27,1.08,21.3,Equity : Sectoral - Financial Services,-1.79,11.01,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Equity Advantage Fund(G),EQ-L&M,4.0,5378.6,2.0,24-Feb-95,S&P BSE 250 LargeMidCap Index - TRI,607.94,726.83,523.09,-1.38,7.55,-5.32,-16.18,20.5,14.62,6.76,14.82,56,64.0,85863.0,50.76,37.03,9.48,Financials,-,-,-,-12.52,-0.91,-1.37,1,19.83,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Equity Hybrid 95 Fund(G),HY-EQ,4.0,7687.6,1.88,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1049.77,1111.64,951.46,-0.76,5,-2.8,-6.56,18.69,11.88,6.98,12.21,81,68.0,119057.0,49.34,20.48,4.84,Financials,2.6,1.98,7.35,-7.43,-0.57,-0.9,1.08,14.06,Hybrid : Equity Oriented,1.35,8.53,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Equity Savings Fund-Reg(G),HY-EQ,2.0,505.2,2.31,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,17.28,17.94,16.12,-0.06,3.54,0.29,-3.25,10.08,8.03,5.72,-,385,57.0,151451.0,49.8,13.59,6.09,Financials,0.75,0.7,7.16,-5.34,-0.73,-1.1,0.46,7.64,Hybrid : Equity Oriented,1.35,8.53,0.25% on or before 7D Nil after 7D
Aditya Birla Sun Life,Aditya Birla SL Flexi Cap Fund(G),EQ-FLEX,3.0,15735.0,1.82,27-Aug-98,NIFTY 500 - TRI,1118.84,1203.91,966.11,0.41,8.03,-0.57,-7.83,23.15,15.82,9.66,15.61,18,67.0,135484.0,73.4,14.37,9.55,Financials,-,-,-,-3.58,-0.49,-0.76,0.94,17.96,Equity : Flexi Cap,-2.7,16.46,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Frontline Equity Fund(G),EQ-LC,4.0,21457.6,1.77,30-Aug-02,NIFTY 100 - TRI,342.98,356.11,296.86,-0.51,7.22,2.41,-4.28,24,15.38,9.81,13.87,41,76.0,221474.0,83.61,9.0,2.06,Financials,-,-,-,0.18,-0.29,-0.45,0.92,17.13,Equity : Large Cap,-3.51,14.3,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL India GenNext Fund(G),EQ-CONS,3.0,3137.6,2.17,5-Aug-05,Nifty India Consumption - TRI,144.75,148.06,120.17,-0.35,8.63,7.64,0.37,28.91,17.97,13.58,17.28,11,75.0,96733.0,60.02,25.3,10.92,Financials,-,-,-,3.98,-0.05,-0.08,0.87,17.43,Equity : Thematic - Consumption,7.84,17.57,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Infrastructure Fund(G),EQ-INFRA,4.0,549.7,2.55,17-Mar-06,Nifty Infrastructure - TRI,50.46,52.53,40.62,-1.25,13.16,0.92,-2.96,40.18,19.95,5.97,12.53,46,44.0,34379.0,37.82,18.73,37.89,Infrastructure,-,-,-,1.49,-0.17,-0.26,0.88,19.66,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Mfg. Equity Fund-Reg(G),EQ-CONS,4.0,662.6,2.51,3-Feb-15,S&P BSE India Manufacturing Index - TRI,19.4,20.77,16.94,-49.13,-45.7,-49.39,-53.22,18.18,14.6,6.78,-,2,42.0,53104.0,49.34,24.84,20.45,FMCG,-,-,-,-5.75,-0.59,-0.9,0.81,17.41,Equity : Thematic - Consumption,7.84,17.57,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Midcap Fund(G),EQ-MID,2.0,3550.1,2.1,3-Oct-02,Nifty Midcap 150 - TRI,463.16,498.8,401.08,-2.01,5.14,-0.7,-5.71,32.34,20.42,7.91,15.32,18,71.0,28709.0,13.33,69.8,13.29,Financials,-,-,-,-0.78,-0.3,-0.44,0.88,19.05,Equity : Mid Cap,0.53,23.53,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Pure Value Fund(G),EQ-VAL,3.0,3916.0,2.05,27-Mar-08,NIFTY 500 - TRI,72.31,77.58,59.8,-0.1,9.38,-1.79,-6.5,27.1,16.03,2.87,15.36,132,71.0,36616.0,39.06,25.72,28.54,Financials,-,-,-,-0.86,-0.31,-0.45,1.04,21.63,Equity : Value / Contra,3.04,21.88,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Regular Savings Fund(G),HY-DT(CO),3.0,1654.0,1.88,22-May-04,CRISIL Hybrid 85+15 - Conservative Index,52.11,52.47,49.22,0.01,2.61,1.56,3.45,12.94,9.24,5.95,9.98,136,49.0,132499.0,16.75,3.61,3.42,Financials,2.61,1.94,7.4,1.23,0.2,0.35,0.51,4.94,Hybrid : Debt Oriented (Conservative),0.59,9.76,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Small Cap Fund(G),EQ-SML,1.0,2972.0,2.09,31-May-07,S&P BSE 250 Small Cap - TRI,52.71,57.95,43.96,-1.79,8.19,-0.52,-11.06,32.02,20.4,5.26,15.44,41,93.0,8688.0,3.18,18.16,72.66,Capital Goods,-,-,-,-7.94,-0.66,-0.94,0.81,18.85,Equity : Small Cap,2.94,30.51,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Tax Plan(G),EQ-ELSS,1.0,357.3,2.52,3-Oct-06,NIFTY 500 - TRI,49.07,53.65,43.61,-1.75,4.6,-0.06,-7.89,11.68,8.79,5.43,12.95,25,40.0,104731.0,53.8,32.57,12.02,Financials,-,-,-,-5.37,-0.63,-0.98,0.81,15.73,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Aditya Birla Sun Life,Aditya Birla SL Tax Relief 96(G),EQ-ELSS,1.0,13555.4,1.77,10-Mar-08,NIFTY 500 - TRI,40.62,44.08,35.92,-1.72,4.98,0.92,-7.11,12.4,9.65,6.21,13.72,27,48.0,100768.0,54.99,30.55,12.91,Financials,-,-,-,-4.46,-0.57,-0.89,0.82,15.82,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Axis Mutual Fund,Axis Arbitrage Fund-Reg(G),HY-ARB,3.0,3999.3,1.05,14-Aug-14,Nifty 50 Arbitrage,15.56,15.56,14.94,0.41,1.06,1.9,4.06,3.83,3.94,4.84,-,0,85.0,144270.0,56.79,9.24,1.56,Financials,0.33,0.32,6.61,1.26,1.37,2.82,-0.02,0.93,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 7D Nil after 7D
Axis Mutual Fund,Axis Balanced Advantage Fund-Reg(G),HY-DYN,2.0,2377.0,2.04,1-Aug-17,NIFTY 50 Hybrid Composite Debt 50:50 Index,14.27,14.69,13.19,-0.21,4.16,2.66,-2.46,10.96,8.27,6.94,-,0,62.0,213079.0,60.24,7.82,1.3,Financials,2.5,1.95,7.01,-4.54,-0.56,-0.88,0.67,8.75,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis Mutual Fund,Axis Childrens Gift Fund-Compulsory Lock in-Reg(G),HY-SOL,4.0,702.6,2.45,8-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,19.61,21.66,17.64,-1.01,5.37,-1.63,-7.79,16.77,11.8,10.01,-,0,39.0,186471.0,56.86,7.3,7.42,Financials,5.4,2.6,7.16,-9.53,-0.73,-1.12,0.86,13.59,Hybrid : Solution Oriented,-1.53,19.02,NIL
Axis Mutual Fund,Axis Childrens Gift Fund-No Lock in-Reg(G),HY-SOL,3.0,702.6,2.45,8-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,19.6,21.66,17.64,-1.01,5.37,-1.63,-7.79,16.77,11.8,10.01,-,0,39.0,186471.0,56.86,7.3,7.42,Financials,5.4,2.6,7.16,-9.5,-0.73,-1.12,0.86,13.59,Hybrid : Solution Oriented,-1.53,19.02,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Axis Mutual Fund,Axis Equity Saver Fund-Reg(G),HY-EQ,2.0,1151.2,2.18,14-Aug-15,NIFTY 50 Equity Savings Index,16.81,17.29,15.69,-0.18,3.64,1.82,-2.5,10.69,8.1,7.73,-,0,60.0,300475.0,61.76,4.62,1.07,Financials,3.15,1.55,7,-4.59,-0.64,-1,0.56,7.66,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of investments and 1% for remaining investments on or before 1M Nil after 1M
Axis Mutual Fund,Axis Focused 25 Fund-Reg(G),EQ-MLC,3.0,18087.2,1.77,29-Jun-12,NIFTY 500 - TRI,40.64,48.79,35.77,-2.52,5,-4.83,-18.99,16,10.74,10.11,13.9,139,24.0,204957.0,74.53,9.33,0.53,Financials,-,-,-,-17.31,-1.18,-1.8,0.97,19.28,Equity : Multi Cap,0.07,20.3,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis Mutual Fund,Axis Long Term Equity Fund-Reg(G),EQ-ELSS,3.0,31268.5,1.63,29-Dec-09,NIFTY 500 - TRI,66.46,78.1,57.09,-2.26,6.62,-3.17,-16.35,18.14,11.43,10.8,16.64,19,40.0,140846.0,76.93,19.14,2.51,Financials,-,-,-,-14.26,-1,-1.52,0.96,19.5,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Axis Mutual Fund,Axis Midcap Fund-Reg(G),EQ-MID,3.0,19461.8,1.79,18-Feb-11,S&P BSE 150 MidCap - TRI,68.32,73.07,58.0,-1.36,7.6,2.45,-7.11,27.21,20.88,16.5,18.8,24,65.0,48927.0,24.38,61.29,2.54,Financials,-,-,-,-3.68,-0.47,-0.7,0.83,17.68,Equity : Mid Cap,0.53,23.53,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
